x;y;z;time
-2,18; 3,45; 6,97; 2716421255
-3,18; 3,00; 6,06; 2716421275
-3,14; 2,83; 7,73; 2716421293
-1,57; 3,34; 8,33; 2716421312
-0,72; 3,57; 6,30; 2716421332
-0,31; 2,31; 5,04; 2716421352
1,58; 1,96; 9,15; 2716421370
3,88; 2,91; 17,99; 2716421389
2,56; 1,98; 19,89; 2716421411
0,26; -0,48; 7,97; 2716421429
-1,60; 0,51; 4,81; 2716421447
-0,51; 3,02; 6,83; 2716421468
2,29; 5,73; 9,21; 2716421485
2,12; 2,91; 8,45; 2716421506
1,43; 1,98; 7,84; 2716421527
1,89; 1,53; 8,20; 2716421544
2,03; 0,70; 8,82; 2716421564
1,21; 0,54; 8,15; 2716421584
1,93; 0,35; 9,95; 2716421602
3,09; 0,26; 10,80; 2716421628
3,99; 0,15; 12,14; 2716421644
3,47; -0,44; 11,12; 2716421661
2,77; -1,08; 9,31; 2716421680
2,37; -1,40; 9,11; 2716421699
2,27; -1,39; 9,65; 2716421719
3,14; -1,21; 10,50; 2716421738
3,51; -0,78; 11,43; 2716421759
3,83; -0,22; 10,23; 2716421777
3,37; -0,14; 9,00; 2716421796
2,75; -0,07; 8,49; 2716421816
2,51; 0,10; 8,64; 2716421836
2,99; 0,01; 8,74; 2716421857
3,80; -0,06; 9,89; 2716421879
3,53; -0,14; 11,60; 2716421895
3,00; -0,37; 11,87; 2716421913
2,59; -0,18; 10,85; 2716421933
2,53; 0,03; 9,59; 2716421953
2,12; 0,25; 8,99; 2716421972
1,65; 0,44; 8,94; 2716421991
1,66; 0,57; 8,93; 2716422010
2,18; 0,99; 9,01; 2716422030
2,83; 1,34; 9,08; 2716422049
2,77; 1,41; 9,53; 2716422069
2,40; 1,08; 9,80; 2716422089
2,13; 0,84; 9,88; 2716422112
2,16; 0,83; 9,67; 2716422129
2,04; 0,83; 9,21; 2716422146
2,07; 0,74; 8,77; 2716422165
2,39; 0,84; 9,09; 2716422185
2,27; 0,70; 9,07; 2716422205
2,07; 0,78; 7,76; 2716422229
1,71; 1,24; 6,28; 2716422247
-0,31; 0,20; 6,00; 2716422262
-1,46; -1,24; 5,36; 2716422281
0,94; -0,14; 3,24; 2716450186
3,69; 1,82; 1,73; 2716450199
3,42; -1,41; 3,03; 2716450216
3,61; -4,11; 3,79; 2716450236
5,45; -5,73; 7,42; 2716450256
6,02; -6,86; 13,17; 2716450276
7,59; -5,86; 15,48; 2716450300
7,51; -4,88; 15,79; 2716450314
6,51; -4,62; 13,42; 2716450334
5,92; -5,15; 10,77; 2716450354
5,83; -5,51; 9,31; 2716450372
5,63; -5,68; 6,16; 2716450391
6,05; -5,92; 5,09; 2716450416
6,17; -5,32; 5,66; 2716450432
9,70; -3,51; 5,00; 2716450451
9,04; -2,71; 7,07; 2716450468
