x;y;z;time
9,77; -1,74; 0,92; 747196813
9,61; -1,82; 1,01; 747196827
9,76; -1,87; 1,21; 747196853
9,89; -1,80; 1,27; 747196867
9,86; -1,78; 1,06; 747196895
9,77; -1,77; 0,98; 747196908
9,67; -1,76; 0,94; 747196934
9,77; -1,80; 0,99; 747196948
9,82; -1,86; 1,23; 747196977
9,86; -1,87; 1,30; 747196988
9,79; -1,96; 1,19; 747197010
9,61; -2,10; 1,11; 747197028
9,23; -2,16; 1,10; 747197052
9,33; -2,12; 1,25; 747197068
9,44; -2,31; 1,10; 747197095
9,44; -2,31; 0,82; 747197107
9,11; -2,24; 0,29; 747197135
8,99; -2,24; 0,28; 747197148
8,99; -2,71; 0,43; 747197176
8,99; -2,79; 0,46; 747197187
8,98; -2,49; 0,74; 747197210
8,62; -2,58; 0,70; 747197228
7,62; -2,67; 0,79; 747197252
8,00; -3,18; 1,52; 747197268
11,21; -3,72; 1,56; 747197294
11,47; -3,24; 0,94; 747197308
8,78; -1,52; -0,02; 747197336
9,41; -1,19; -0,15; 747197350
13,24; -0,45; 0,31; 747197376
14,32; -0,43; 0,55; 747197390
13,60; 0,32; 0,56; 747197410
12,75; 0,20; 0,33; 747197427
12,39; -0,05; 1,05; 747197452
12,72; -0,19; 1,50; 747197467
13,40; -0,48; 1,19; 747197495
13,02; -0,55; 0,77; 747197508
12,16; -0,65; -1,75; 747197536
12,47; -1,19; -0,48; 747197548
11,51; -1,37; 0,35; 747197577
11,43; -1,18; 0,29; 747197592
12,01; -1,73; -0,35; 747197609
11,50; -1,74; -0,52; 747197628
11,25; -1,69; -0,49; 747197655
11,34; -1,70; -0,79; 747197667
10,81; -1,39; -0,82; 747197695
10,68; -1,35; -0,73; 747197707
10,74; -0,87; -0,40; 747197735
10,82; -0,65; -0,48; 747197748
10,41; -0,38; -0,70; 747197777
10,10; -0,41; -0,79; 747197789
9,33; -0,30; -0,91; 747197810
9,17; -0,16; -0,89; 747197828
9,45; -0,12; -0,70; 747197852
9,60; 0,01; -1,10; 747197868
8,81; 0,13; -1,54; 747197894
8,66; -0,03; -1,83; 747197908
8,24; -0,54; -1,79; 747197935
8,43; -0,77; -1,67; 747197949
8,53; -1,31; -1,11; 747197976
8,35; -1,41; -0,96; 747197989
7,98; -1,86; -1,00; 747198010
7,50; -2,18; -1,24; 747198026
6,02; -2,18; -1,63; 747198052
5,03; -1,98; -1,50; 747198068
4,13; -2,42; -0,71; 747198095
4,41; -2,99; -0,43; 747198108
5,66; -4,13; -0,78; 747198134
6,03; -4,44; -1,26; 747198148
5,49; -5,16; -1,59; 747198178
5,09; -5,39; -1,38; 747198189
5,03; -5,87; -0,55; 747198210
5,99; -6,37; -0,22; 747198227
7,75; -7,24; -0,82; 747198252
8,55; -7,45; -0,98; 747198267
8,83; -7,43; -0,46; 747198295
9,27; -7,24; -0,21; 747198308
11,68; -7,54; -1,33; 747198335
12,39; -7,51; -2,57; 747198349
12,26; -7,59; -4,03; 747198377
12,44; -7,77; -3,76; 747198389
13,56; -8,58; -2,69; 747198410
14,44; -8,57; -1,38; 747198428
16,31; -7,95; -0,83; 747198453
16,68; -7,40; -1,69; 747198468
14,45; -5,56; -2,02; 747198496
14,03; -4,78; -2,07; 747198508
15,50; -2,67; -2,49; 747198539
16,07; -1,44; -2,37; 747198548
18,34; 1,43; 0,00; 747198578
19,35; 2,01; 1,01; 747198589
19,62; 2,15; 1,94; 747198610
